Date;Ticket;Action;
2020-01-02;OCRITM0487113;Done;
2020-01-02;OCRITM0487153;Done;
2020-01-02;OCRITM0487163;Returned;
2020-01-02;OCRITM0487162;Done;
2020-01-02;OCRITM0487186;Returned;
2020-01-02;OCRITM0487284;Returned;
2020-01-02;OCRITM0487284;Returned;
2020-01-02;OCRITM0487287;Done;
2020-01-02;OCRITM0487285;Returned;
2020-01-02;OCRITM0487227;Done;
2020-01-02;OCRITM0487286;Done;
2020-01-02;OCRITM0487272;Returned;
2020-01-02;OCRITM0487303;Done;
2020-01-02;OCRITM0487317;Done;
2020-01-02;OCRITM0487234;Done;
2020-01-02;OCRITM0487353;Done;
2020-01-02;OCRITM0487308;Done;
2020-01-02;OCRITM0487352;Returned;
2020-01-03;OCRITM0487374;Done;
2020-01-03;OCRITM0487382;Returned;
2020-01-03;OCRITM0487382;Returned;
2020-01-03;OCRITM0487417;Done;
2020-01-03;OCRITM0487511;Done;
2020-01-03;OCRITM0487488;Done;
2020-01-03;OCRITM0487421;Done;
2020-01-03;OCRITM0487486;Done;
2020-01-03;OCRITM0487494;Done;
2020-01-03;OCRITM0487521;Done;
2020-01-03;OCRITM0487424;Done;
2020-01-03;OCRITM0487489;Done;
2020-01-03;OCRITM0487502;Done;
2020-01-03;OCRITM0487499;Done;
2020-01-03;OCRITM0487510;Done;
2020-01-03;OCRITM0487508;Done;
2020-01-07;OCRITM0487749;Done;
2020-01-07;OCRITM0487809;Done;
2020-01-07;OCRITM0487875;Returned;
2020-01-07;OCRITM0487855;Done;
2020-01-08;OCRITM0487929;Done;
2020-01-08;OCRITM0487979;Returned;
2020-01-08;OCRITM0487975;Done;
2020-01-08;OCRITM0487995;Done;
2020-01-08;OCRITM0487994;Returned;
2020-01-08;OCRITM0487994;Returned;
2020-01-08;OCRITM0487988;Done;
2020-01-08;OCRITM0488072;Done;
2020-01-08;OCRITM0488065;Done;
2020-01-08;OCRITM0488071;Done;
2020-01-08;OCRITM0488118;Returned;
2020-01-08;OCRITM0488132;Done;
2020-01-09;OCRITM0488259;Done;
2020-01-09;OCRITM0488261;Done;
2020-01-09;OCRITM0488290;Done;
2020-01-09;OCRITM0488311;Done;
2020-01-09;OCRITM0488370;Returned;
2020-01-09;OCRITM0488385;Done;
2020-01-10;OCRITM0488466;Done;
2020-01-10;OCRITM0488465;Returned;
2020-01-10;OCRITM0488465;Returned;
2020-01-10;OCRITM0488480;Returned;
2020-01-11;OCRITM0488487;Done;
2020-01-11;OCRITM0488484;Returned;
2020-01-11;OCRITM0488572;Done;
2020-01-11;OCRITM0488543;Done;
2020-01-11;OCRITM0488495;Done;
2020-01-11;OCRITM0488598;Done;
2020-01-11;OCRITM0488476;Done;
2020-01-11;OCRITM0488482;Returned;
2020-01-11;OCRITM0488483;Returned;
2020-01-13;OCRITM0488675;Done;
2020-01-13;OCRITM0488700;Returned;
2020-01-13;OCRITM0488740;Done;
2020-01-13;OCRITM0488786;Done;
2020-01-13;OCRITM0488789;Done;
2020-01-13;OCRITM0488821;Done;
2020-01-13;OCRITM0488825;Done;
2020-01-13;OCRITM0488846;Done;
2020-01-14;OCRITM0488964;Other;
2020-01-14;OCRITM0488981;Done;
2020-01-14;OCRITM0489001;Done;
2020-01-14;OCRITM0489095;Done;
2020-01-15;OCRITM0489262;Done;
2020-01-15;OCRITM0489245;Done;
2020-01-15;OCRITM0489263;Done;
2020-01-15;OCRITM0489281;Done;
2020-01-15;OCRITM0489284;Done;
2020-01-15;OCRITM0489454;Done;
2020-01-16;OCRITM0489537;Done;
2020-01-16;OCRITM0489597;Returned;
2020-01-16;OCRITM0489609;Done;
