Date;Ticket;Action;
2020-01-02;26;Returned;
2020-01-02;29;Done;
2020-01-02;30;Done;
2020-01-02;30;Returned;
2020-01-02;33;Done;
2020-01-02;33;Returned;
2020-01-02;33;Returned;
2020-01-02;33;Returned;
2020-01-02;34;Returned;
2020-01-02;34;Returned;
2020-01-02;35;Done;
2020-01-02;35;Done;
2020-01-02;36;Other;
2020-01-02;36;Returned;
2020-01-02;37;Done;
2020-01-02;37;Returned;
2020-01-02;38;Done;
2020-01-02;38;Returned;
2020-01-02;39;Done;
2020-01-02;40;Done;
2020-01-02;40;Returned;
2020-01-02;05;Done;
2020-01-03;43;Returned;
2020-01-03;44;Done;
2020-01-03;45;Done;
2020-01-03;46;Done;
2020-01-03;46;Done;
2020-01-03;47;Done;
2020-01-03;48;Done;
2020-01-03;49;Done;
2020-01-03;50;Done;
2020-01-03;50;Done;
2020-01-03;51;Done;
2020-01-03;52;Done;
2020-01-03;53;Done;
2020-01-03;53;Done;
2020-01-03;54;Done;
2020-01-03;55;Done;
2020-01-03;56;Done;
2020-01-03;57;Done;
2020-01-03;03;Returned;
2020-01-03;37;Returned;
2020-01-03;41;Returned;
2020-01-03;12;Done;
2020-01-03;15;Done;
2020-01-03;51;Done;
2020-01-03;54;Done;
2020-01-03;55;Done;
2020-01-03;55;Returned;
2020-01-03;55;Returned;
2020-01-03;56;Returned;
2020-01-08;25;Returned;
2020-01-08;26;Done;
2020-01-08;28;Returned;
2020-01-08;28;Done;
2020-01-08;29;Done;
2020-01-08;29;Returned;
2020-01-08;30;Done;
2020-01-08;30;Returned;
2020-01-08;31;Returned;
2020-01-08;33;Done;
2020-01-08;33;Returned;
2020-01-08;34;Done;
2020-01-08;35;Done;
2020-01-08;15;Other;
2020-01-08;15;Other;
2020-01-08;16;Other;
2020-01-09;30;Done;
2020-01-09;30;Done;
2020-01-09;31;Done;
2020-01-09;32;Done;
2020-01-09;33;Done;
2020-01-09;34;Done;
2020-01-09;34;Done;
2020-01-09;35;Other;
2020-01-09;35;Other;
2020-01-09;36;Done;
2020-01-09;36;Returned;
2020-01-09;36;Other;
2020-01-09;37;Done;
2020-01-09;37;Other;
2020-01-09;38;Done;
2020-01-09;39;Done;
2020-01-09;39;Done;
2020-01-09;40;Returned;
2020-01-09;40;Done;
2020-01-09;41;Done;
2020-01-09;42;Done;
2020-01-09;42;Other;
2020-01-09;43;Done;
2020-01-09;43;Returned;
2020-01-09;43;Other;
2020-01-09;44;Done;
2020-01-09;48;Other;
2020-01-09;50;Done;
2020-01-09;52;Done;
2020-01-09;53;Other;
2020-01-09;55;Done;
2020-01-09;56;Done;
2020-01-09;57;Done;
2020-01-09;57;Returned;
2020-01-09;00;Done;
2020-01-09;02;Done;
2020-01-09;05;Done;
2020-01-09;07;Returned;
2020-01-09;09;Returned;
2020-01-09;10;Done;
2020-01-09;26;Returned;
2020-01-09;27;Returned;
2020-01-09;27;Returned;
2020-01-09;29;Other;
2020-01-09;29;Returned;
2020-01-09;29;Returned;
2020-01-09;29;Other;
2020-01-09;30;Done;
2020-01-09;30;Returned;
2020-01-09;24;Done;
2020-01-09;34;Returned;
2020-01-09;35;Other;
2020-01-09;36;Returned;
2020-01-09;36;Returned;
2020-01-09;38;Returned;
2020-01-09;38;Returned;
2020-01-09;39;Other;
2020-01-09;39;Other;
2020-01-09;39;Other;
2020-01-09;40;Other;
2020-01-09;40;Other;
2020-01-09;40;Other;
2020-01-09;40;Other;
2020-01-09;41;Other;
2020-01-09;41;Other;
2020-01-09;41;Other;
2020-01-09;41;Other;
2020-01-09;41;Other;
2020-01-09;42;Other;
2020-01-09;42;Other;
2020-01-09;42;Other;
2020-01-09;43;Done;
2020-01-09;43;Other;
2020-01-09;43;Other;
2020-01-09;39;Returned;
2020-01-09;39;Returned;
2020-01-09;40;Done;
2020-01-10;59;Done;
2020-01-10;00;Done;
2020-01-10;00;Other;
2020-01-10;01;Done;
2020-01-10;02;Done;
2020-01-10;03;Done;
2020-01-10;04;Done;
2020-01-10;04;Done;
2020-01-10;05;Done;
2020-01-10;06;Done;
2020-01-10;06;Other;
2020-01-10;07;Other;
2020-01-10;07;Done;
2020-01-10;08;Other;
2020-01-10;08;Done;
2020-01-10;09;Done;
2020-01-10;10;Done;
2020-01-10;11;Done;
2020-01-10;11;Done;
2020-01-10;53;Returned;
2020-01-10;04;Done;
2020-01-10;43;Other;
2020-01-10;43;Other;
2020-01-10;59;Other;
2020-01-10;28;Other;
2020-01-10;28;Other;
2020-01-10;29;Other;
2020-01-10;29;Other;
2020-01-10;29;Other;
2020-01-10;29;Other;
2020-01-10;29;Other;
2020-01-10;30;Other;
2020-01-13;52;Returned;
2020-01-13;52;Returned;
2020-01-13;53;Done;
2020-01-13;53;Other;
2020-01-13;55;Done;
2020-01-13;56;Other;
2020-01-13;56;Returned;
2020-01-13;22;Returned;
2020-01-13;24;Done;
2020-01-13;27;Done;
2020-01-13;28;Returned;
2020-01-13;29;Other;
2020-01-13;29;Done;
2020-01-13;30;Returned;
2020-01-13;30;Other;
2020-01-13;31;Done;
2020-01-13;33;Done;
2020-01-13;36;Done;
2020-01-13;36;Done;
2020-01-13;38;Returned;
2020-01-13;41;Done;
2020-01-13;43;Done;
2020-01-13;43;Returned;
2020-01-13;44;Done;
2020-01-13;44;Returned;
2020-01-13;45;Other;
2020-01-13;45;Other;
2020-01-13;45;Other;
2020-01-13;46;Done;
2020-01-13;46;Returned;
2020-01-13;46;Other;
2020-01-13;49;Done;
2020-01-13;49;Returned;
2020-01-13;49;Returned;
2020-01-13;50;Done;
2020-01-13;50;Other;
2020-01-13;51;Done;
2020-01-13;51;Other;
2020-01-13;51;Returned;
2020-01-13;52;Other;
2020-01-13;54;Done;
2020-01-13;55;Done;
2020-01-13;57;Done;
2020-01-13;00;Done;
2020-01-13;02;Returned;
2020-01-13;04;Done;
2020-01-13;06;Returned;
2020-01-13;09;Done;
2020-01-13;11;Done;
2020-01-13;11;Other;
2020-01-13;12;Done;
2020-01-13;13;Done;
2020-01-13;15;Done;
2020-01-13;16;Done;
2020-01-14;12;Done;
2020-01-14;13;Done;
2020-01-14;13;Returned;
2020-01-14;14;Done;
2020-01-14;14;Other;
2020-01-14;16;Done;
2020-01-14;17;Done;
2020-01-14;18;Done;
2020-01-14;20;Returned;
2020-01-14;21;Done;
2020-01-14;21;Done;
2020-01-14;22;Done;
2020-01-14;23;Done;
2020-01-14;23;Returned;
2020-01-14;23;Other;
2020-01-14;24;Returned;
2020-01-14;24;Done;
2020-01-14;33;Returned;
2020-01-14;00;Done;
2020-01-14;19;Done;
2020-01-14;19;Done;
2020-01-14;22;Done;
2020-01-14;36;Other;
2020-01-14;36;Other;
2020-01-15;21;Done;
2020-01-15;22;Done;
2020-01-15;24;Returned;
2020-01-15;57;Other;
2020-01-15;57;Other;
2020-01-15;00;Other;
2020-01-15;00;Other;
2020-01-15;00;Other;
2020-01-15;21;Other;
2020-01-15;21;Other;
2020-01-15;22;Other;
2020-01-15;22;Other;
2020-01-15;25;Done;
2020-01-15;26;Done;
2020-01-15;26;Done;
2020-01-15;29;Done;
2020-01-15;30;Done;
2020-01-15;33;Done;
2020-01-16;43;Done;
2020-01-16;43;Other;
2020-01-16;46;Done;
2020-01-16;46;Done;
2020-01-16;47;Done;
2020-01-16;48;Done;
2020-01-16;49;Done;
2020-01-16;06;Done;
2020-01-16;08;Done;
2020-01-16;09;Returned;
2020-01-16;09;Done;
2020-01-16;10;Done;
2020-01-16;12;Other;
2020-01-16;14;Done;
2020-01-16;15;Done;
2020-01-16;18;Done;
2020-01-16;19;Done;
2020-01-16;39;Returned;
2020-01-16;29;Returned;
2020-01-16;29;Returned;
2020-01-16;30;Done;
2020-01-16;30;Returned;
2020-01-17;41;Done;
2020-01-17;41;Done;
2020-01-17;44;Returned;
2020-01-17;44;Done;
2020-01-17;16;Returned;
2020-01-20;02;Other;
2020-01-20;02;Returned;
2020-01-20;03;Returned;
2020-01-20;11;Other;
2020-01-20;11;Returned;
2020-01-20;11;Returned;
2020-01-20;12;Done;
2020-01-20;12;Returned;
2020-01-20;12;Other;
2020-01-20;12;Returned;
2020-01-20;13;Done;
2020-01-20;13;Other;
2020-01-20;14;Other;
2020-01-20;14;Returned;
2020-01-20;14;Other;
2020-01-20;14;Other;
2020-01-20;14;Returned;
2020-01-20;15;Other;
2020-01-20;15;Returned;
2020-01-20;15;Returned;
2020-01-20;15;Returned;
2020-01-20;15;Returned;
2020-01-20;16;Done;
2020-01-20;19;Done;
2020-01-20;19;Returned;
2020-01-20;19;Other;
2020-01-20;20;Done;
2020-01-20;21;Done;
2020-01-20;21;Other;
2020-01-20;22;Done;
2020-01-20;22;Other;
2020-01-20;22;Returned;
2020-01-20;22;Returned;
2020-01-20;23;Returned;
2020-01-20;23;Done;
