Date;Ticket;Action;
2020-01-02;OCIN02239588;Done;
2020-01-02;OCIN02239573;Done;
2020-01-02;OCIN02239653;Done;
2020-01-02;OCIN02239278;Done;
2020-01-02;OCIN02237263;Done;
2020-01-02;OCIN02239342;Done;
2020-01-02;OCIN02237221;Done;
2020-01-02;OCIN02239692;Done;
2020-01-02;OCIN02239358;Done;
2020-01-02;OCIN02237215;Done;
2020-01-02;OCIN02240359;Done;
2020-01-02;OCIN02238165;Done;
2020-01-02;OCIN02239576;Done;
2020-01-02;OCIN02243335;Done;
2020-01-02;OCIN02238134;Done;
2020-01-02;OCIN02237262;Done;
2020-01-02;OCIN02237218;Done;
2020-01-02;OCIN02237213;Done;
2020-01-02;OCIN02239596;Done;
2020-01-02;OCIN02237220;Done;
2020-01-02;OCIN02237222;Done;
2020-01-02;OCIN02237214;Done;
2020-01-02;OCIN02239574;Done;
2020-01-02;OCIN02238195;Done;
2020-01-02;OCIN02238149;Done;
2020-01-02;OCIN02237260;Done;
2020-01-02;OCIN02238732;Done;
2020-01-02;OCIN02239977;Done;
2020-01-02;OCIN02238811;Done;
2020-01-02;OCIN02239572;Done;
2020-01-02;OCIN02238145;Done;
2020-01-02;OCIN02238315;Done;
2020-01-02;OCIN02237223;Done;
2020-01-02;OCIN02238126;Done;
2020-01-02;OCIN02239620;Done;
2020-01-02;OCIN02239561;Done;
2020-01-02;OCIN02239590;Done;
2020-01-02;OCIN02239592;Done;
2020-01-02;OCIN02237067;Done;
2020-01-02;OCIN02239678;Done;
2020-01-02;OCIN02243753;Done;
2020-01-02;OCIN02239586;Done;
2020-01-02;OCIN02241381;Done;
2020-01-02;OCIN02238142;Done;
2020-01-02;OCIN02237973;Done;
2020-01-02;OCIN02238733;Done;
2020-01-02;OCIN02248173;Done;
2020-01-02;OCIN02248174;Done;
2020-01-02;OCIN02248181;Done;
2020-01-02;OCIN02248231;Done;
2020-01-02;OCIN02248244;Done;
2020-01-02;OCIN02248247;Done;
2020-01-02;OCIN02248239;Done;
2020-01-02;OCIN02248248;Done;
2020-01-02;OCIN02248284;Done;
2020-01-02;OCIN02248343;Done;
2020-01-02;OCIN02248838;Done;
2020-01-02;OCIN02248856;Done;
2020-01-02;OCIN02248985;Done;
2020-01-02;OCIN02249403;Done;
2020-01-02;OCIN02249405;Done;
2020-01-02;OCIN02249408;Done;
2020-01-02;OCIN02249407;Done;
2020-01-02;OCIN02249410;Done;
2020-01-02;OCIN02249693;Done;
2020-01-02;OCIN02249697;Done;
2020-01-02;OCIN02249698;Done;
2020-01-02;OCIN02249981;Done;
2020-01-02;OCIN02249985;Done;
2020-01-02;OCIN02251774;Done;
2020-01-02;OCIN02251822;Done;
2020-01-02;OCIN02252250;Done;
2020-01-02;OCIN02252739;Done;
2020-01-02;OCIN02252861;Done;
2020-01-02;OCIN02252858;Done;
2020-01-02;OCIN02253010;Done;
2020-01-02;OCIN02253016;Done;
2020-01-02;OCIN02253017;Done;
2020-01-02;OCIN02253019;Done;
2020-01-02;OCIN02253022;Done;
2020-01-02;OCIN02253011;Done;
2020-01-02;OCIN02253008;Done;
2020-01-02;OCIN02253012;Done;
2020-01-02;OCIN02253014;Done;
2020-01-02;OCIN02253015;Done;
2020-01-02;OCIN02253038;Done;
2020-01-02;OCIN02253419;Done;
2020-01-02;OCIN02253348;Done;
2020-01-02;OCIN02253438;Other;
2020-01-02;OCIN02253378;Done;
2020-01-02;OCIN02253524;Done;
2020-01-02;OCIN02253526;Done;
2020-01-02;OCIN02254045;Done;
2020-01-02;OCIN02254770;Done;
2020-01-02;OCIN02255059;Done;
2020-01-02;OCIN02255251;Done;
2020-01-02;OCIN02255599;Done;
2020-01-02;OCIN02255731;Done;
2020-01-02;OCIN02255750;Done;
2020-01-02;OCIN02255958;Done;
2020-01-02;OCIN02256025;Done;
2020-01-02;OCIN02256379;Done;
2020-01-02;OCIN02256399;Done;
2020-01-02;OCIN02256562;Done;
2020-01-02;OCIN02256545;Done;
2020-01-08;OCIN02290940;Done;
2020-01-08;OCIN02276016;Done;
2020-01-08;OCIN02291648;Done;
2020-01-08;OCIN02280407;Done;
2020-01-08;OCIN02281333;Done;
2020-01-08;OCIN02291955;Done;
2020-01-08;OCIN02276093;Done;
2020-01-08;OCIN02280077;Done;
2020-01-08;OCIN02282406;Done;
2020-01-08;OCIN02291501;Done;
2020-01-08;OCIN02292018;Done;
2020-01-08;OCIN02291649;Done;
2020-01-08;OCIN02276087;Done;
2020-01-08;OCIN02279376;Done;
2020-01-08;OCIN02291009;Done;
2020-01-08;OCIN02292184;Done;
2020-01-08;OCIN02275385;Done;
2020-01-08;OCIN02278670;Done;
